object_alias
 PNV J18193700-1907400
RT Boo
RT CAM
RT Cap
RT CNC
RT CVN
RT CYG
RT HYA
RT LEO
RT Lyn
RT NOR
RT Oph
RT ORI
RT PEG
RT SEX
RT UMA
RTCnc
RU  Peg    2209+12
RU AND
RU AUR
RU CEP
RU CRT
RU CRV
RU CYG
RU Del
RU HER
RU LMI
RU LYN
RU PEG
RU SEX
RU TAU
RU Uma
RUCep
RUCyg
RUHer
RUPeg
RV  Boo
RV AND
RV AQL
RV BOO
RV Cam
RV CAS
RV CYG
RV DRA
RV Her
RV HYA
RV MON
RV Peg
RV TAU
RV Tauri
RVBoo
RVCyg
RVMon
RVTau
RW  Boo
RW AND
RW AUR
RW BOO
RW CAS
RW CEP
RW COM
RW CYG
RW GEM
RW Gem Seq
RW HER
RW HYA
RW LYR
RW PEG
RW TAU
RW Tauri
RW TRI
RW VIR
RWAnd
RWBoo
RWCep
RX  Cep
RX  Cep    0041+81
RX  Cep  0041+81
RX  Lep
RX  Lep    0506-11
RX  Lep   0506-11
RX AND
RX Aur
RX BOO
RX CAS
RX CEP
RX Cyg
RX DEL
RX HER
RX J0131.4+3602
RX J0944.5+0357
RX J1437.0+2342
RX J1831.7+6511
RX LEP
RX LEP 050611
RX Lyr
RX PER
RX PSC
RX TAU
RX VIR
RXAnd
RXBoo
RXJ 0440.9+4431
RXJ0131.4+
RXJ0131.4+3602
RXJ0403
RXJ0403+0444
RXJ0403.1+
RXJ0403.1+0444
RXJ0440.9+
RXJ0459.7+1926
RXJ0909.8+1849
RXJ0944
RXJ0944.5+
RXJ1044+2113
RXJ1437.0+
RXJ1450 +643
RXJ1450+6403
RXJ1450+643
RXJ1610+0352
RXJ1610+0352 SER
RXJ1610.1+
RXJ1643.7+3402
RXJ1715+6856
RXJ1715.6+
RXJ1715.6+6856
RXJ1730-05
RXJ1831+6511
RXJ1831.7+
RXJ1831.7+6511
RXJ2319+3647
RXLep
RXPJ1131+43
RXPJ113123
RXPJ113123+4322
RXSJ042332
RXSJ053234
RXSJ161008
RXSJ224342
RY   Dra
RY   UMa
RY  Dra  1252+66
RY  Dra  125266
RY  Lyr
RY  Sgr    1910-33
RY  UMa  1215+61
RY  UMa  121546
RY AND
RY CAM
RY CMa
RY DRA
RY LEO
RY Lep
RY Lyr
RY OPH
RY SER
RY SGR
RY SGR 191033
RY TAU
RY UMA
RY VIR
RYCam
RYDra
RYLeo
RYUMa
RZ  Cyg     2048+46
RZ  Sco
RZ  Sco    1558-23
RZ ARI
RZ CAS
RZ CNC
RZ COM
RZ CYG
RZ LEO
RZ LMI
RZ NOR
RZ Psc
RZ SCO
RZ SGE
RZ UMA
RZ VUL
S   Gru     2219-48
S   Sct    1844-08
S  Cep   2136+78
S  CrB
S  CrB   1517+21
S  CrB   1517+31
S  Lep
S  Lep       0601-24
S  Lep   0601-24
S  Lep  0601-24
S  Per
S  Per    0215+58
S  Sct
S  Sct  1844-08
S ANT
S APS
S AQL
S Ari
S AUR
S BOO
S CAM
S CAS
S CEP
S CET
S CMI
S CRB
S CYG
S DEL
S DRA
S EQU
S Gem
S GRU
S HER
S Lac
S LEO
S Leonis
S LEP
S Lmi
S MON
S NOR
S ORI
S PARONIS 194659
S PEG
S PER
S PER 021558
S PSA
S PSC
S SCO
S SCT
S Scu
S SGR
S TAU
S UMA
S UMI
S VIR
S5 0716 +71
S5 0716+71
S5 0716+71 Cam
S50716+71
SAO 37607
SAO 37607 And
SAO 44590
SAO 44590       CVN
SAO 44590 CVN
SAO 44590CVN
SAO 77971
SAO 77971 Gem
SAO37607 And
SAO44590 CVN
SAO77971 Gem
SAX J0635+0533
SBS1017+533
SCas
Scovil
SCrB
SCyg
SDSS 0137
SDSS 0155
SDSS 0334-0710
SDSS 0729
SDSS 074531
SDSS 0747
SDSS 0808
SDSS 1035+0551
SDSS 120231+45
SDSS 170232
SDSS 172654
SDSS 1730
SDSS 2303
SDSS J001153.08-064739.1
SDSS J012940.05+384210.4
SDSS J015151.87+140047.2
SDSS J021317.18+460643.4
SDSS J031051.66-075500.3
SDSS J033320.37+000720.7
SDSS J040714.78-064425.1
SDSS J072910+365838
SDSS J073208.11+4130
SDSS J073208.11+413008.7
SDSS J073817.75+285519.7
SDSS J074531.91+453829.5
SDSS J074640.62+1734
SDSS J074640.62+173412.8
SDSS J074716.81+424849.0 
SDSS J074813.54+290509.2
SDSS J074859.55+312512.6
SDSS J075107.50+300628.4
SDSS J075117.00+100016.2
SDSS J075240.45+362823.2
SDSS J075443.01+500729.2
SDSS J075507.70+143547.6
SDSS J080215.39+401047.2
SDSS J080303.90+251627.0
SDSS J080306.99+284855.8
SDSS J080434.20+510349.2
SDSS J080846.19+313106.0
SDSS J080908.39+381406.2
SDSS J081207.63+131824.4
SDSS J081352.02+281317.3
SDSS J081443.89+125500.0
SDSS J081610.84+453010.2
SDSS J082409.73+493124.4
SDSS J083845.23+491055.5
SDSS J084054.15+045519.1
SDSS J084400.10+023919.3
SDSS J090016.56+430118.2
SDSS J090103.93+480911.1
SDSS J090113.51+144704.6
SDSS J091147.02+315101.8
SDSS J091945.11+085710.0
SDSS J093249.57+472523.0
SDSS J095151.79+4710
SDSS J100515.38+191107.9
SDSS J100515.39+191108.0
SDSS J102637.04+4754
SDSS J102637.04+475426.3
SDSS J102857.78+093129.8
SDSS J103100.55+202832.2
SDSS J103147.99+085224.3
SDSS J103533.03+055158.4
SDSS J110053.08-064739.1
SDSS J112003.40+663632.4
SDSS J113551.09+532246.2
SDSS J114628.80+675909.7
SDSS J120231+45
SDSS J122405.58+184102.7
SDSS J123255.11+222209.4
SDSS J123813.73-033933.7
SDSS J124325.92+025547.5
SDSS J124426.26+613514.6
SDSS J124959.76+035726.6
SDSS J125023.85+665525.5
SDSS J130514.73+582856.3
SDSS J132723.39+652854.3
SDSS J1339+4847
SDSS J133941.11+484727.5
SDSS J140429.37+172359.5
SDSS J143544.02+233638.7
SDSS J1501+5501
SDSS J15013+5501
SDSS J150137.22+550123.3
SDSS J150137.22+550123.4
SDSS J150240.98+333423.9
SDSS J152857.86+034911.7
SDSS J153634+332851
SDSS J153634.42+332851.9
SDSS J153817.35+512338.0
SDSS J154453.60+255348.8
SDSS J155644.24-000950.2
SDSS J160501.35+203056.9
SDSS J160745.02+362320.7
SDSS J161027.61+090738.3
SDSS J161332.56-000331.0
SDSS J161332.56-0003331.0
SDSS J161909.10+135145.5
SDSS J162520.29+120308.7
SDSS J1627+1204
SDSS J163120.88+103134.0
SDSS J1636+4652
SDSS J163722.21-001957.1
SDSS J164248.52+134751.4
SDSS J165359.06+201010.4
SDSS J170053.30+400357.6
SDSS J170213+322954
SDSS J170213.26+322954.1
SDSS J170244.09+223547.9
SDSS J170324.09+320953.2
SDSS J171145.08+301320.0
SDSS J1730
SDSS J173008.38+624754.7
SDSS J204448.92-045928.8
SDSS J204817.85-061044.8
SDSS J205914.87-061220.4
SDSS J205914.87-061220.5
SDSS J210014.12+004446.0
SDSS J210449.95+010545.9
SDSS J214354.60+124458.0
SDSS J214842.52-000723.4
SDSS J225831.18-094931.7
SDSS J230351.64+010651.0
SDSS001834
SDSS003900
SDSS005000
SDSS012938
SDSS013109
SDSS0137
SDSS015114
SDSS0155
SDSS0155+0028
SDSS023300
SDSS031007
SDSS033300
SDSS033407
SDSS040706
SDSS062701
SDSS0729
SDSS0729+3658
SDSS072936
SDSS073828
SDSS074318
SDSS074355.56+183834
SDSS0745+4538
SDSS074617
SDSS0747
SDSS0747+4248
SDSS074716 Lyn
SDSS074742
SDSS074829
SDSS075919
SDSS080121
SDSS080240
SDSS0804
SDSS080451
SDSS080711
SDSS0808
SDSS080908
SDSS081213
SDSS0813+4528
SDSS081328
SDSS081345
SDSS0816+4530
SDSS081645
SDSS082407
SDSS082449
SDSS083756
SDSS083849
SDSS084022
SDSS084402
SDSS090148
SDSS090333
SDSS0904+4402
SDSS090403
SDSS0911+0841
SDSS091908
SDSS092000
SDSS092636
SDSS093201
SDSS094352
SDSS0951+6029
SDSS100519
SDSS100623
SDSS101002
SDSS101345
SDSS102647
SDSS103108
SDSS103120
SDSS103505
SDSS110013
SDSS113262
SDSS113553
SDSS113806
SDSS114667
SDSS115240
SDSS1202
SDSS1202+45
SDSS1202+4503
SDSS120231
SDSS120245
SDSS120835
SDSS121947
SDSS123222
SDSS123803
SDSS124302
SDSS124461
SDSS124807
SDSS125066
SDSS125601
SDSS125864
SDSS125866
SDSS130011
SDSS130558
SDSS132765
SDSS140417
SDSS142941
SDSS143310
SDSS143523
SDSS144049
SDSS145058
SDSS145751
SDSS150155
SDSS150233
SDSS152422
SDSS152803
SDSS1538+51
SDSS153851
SDSS155600
SDSS155635
SDSS160416
SDSS160736
SDSS161009
SDSS1613-0003
SDSS161300
SDSS162234
SDSS162712
SDSS162824
SDSS163110
SDSS163700
SDSS164213
SDSS165320
SDSS165818
SDSS170040
SDSS170232
SDSS170332
SDSS171130
SDSS171260
SDSS172654
SDSS1730
SDSS173062
SDSS204404
SDSS204700
SDSS204806
SDSS205906
SDSS2100+0044
SDSS210000
SDSS210110
SDSS214800
SDSS220511
SDSS223214
SDSS223400
SDSS225809
SDSS2303
SDSS2303+0106
SDSS230301
SDSSJ0018+3454
SDSSJ0043-0037 CET
SDSSJ0129+3842
SDSSJ0129+3842 AND
SDSSJ0131-0901
SDSSJ0333+0007 TAU
SDSSJ0334-0710
SDSSJ0334-0710 ERI
SDSSJ0407-0644
SDSSJ0407-0644 ERI
SDSSJ062746.39+014811.1
SDSSJ0729+3658
SDSSJ0732+4130
SDSSJ0732+4130 LYN
SDSSJ0738+2855
SDSSJ0738+2855 GEM
SDSSJ0743+1838
SDSSJ0745+4538
SDSSJ0745+4538 LYN
SDSSJ074531
SDSSJ0746+1734
SDSSJ0747+4248
SDSSJ0747+4248 LYN
SDSSJ0748+2905
SDSSJ0748+2905 GEM
SDSSJ0748+3125
SDSSJ0748+3125 GEM
SDSSJ0751+1000 CMI
SDSSJ0759+1914
SDSSJ0801+2103
SDSSJ0802+4010
SDSSJ0803+2516 CNC
SDSSJ0803+2848 GEM
SDSSJ0804 LYN
SDSSJ0804+5103
SDSSJ0804+5103 LYN
SDSSJ080434
SDSSJ080434.20+510349.2
SDSSJ080434.20+510349.2 LYN
SDSSJ0807+1138
SDSSJ0808+3131
SDSSJ0808+3131 CNC
SDSSJ0809+3814
SDSSJ0813+2813
SDSSJ0813+4528
SDSSJ0814+1255 CNC
SDSSJ0816+4530
SDSSJ0816+4530 LYN
SDSSJ0824+0737
SDSSJ0824+4931
SDSSJ0837+5645
SDSSJ0838+4910
SDSSJ0838+4910 UMA
SDSSJ0840+2204
SDSSJ0844+0239
SDSSJ0900+4301
SDSSJ0900+4301 LYN
SDSSJ0901+4809
SDSSJ0903+3300
SDSSJ0903+3300 LYN
SDSSJ0904+0355
SDSSJ0904+4402
SDSSJ0906+0526
SDSSJ0911+0841
SDSSJ0911+3151 CNC
SDSSJ0919+0857
SDSSJ0920+0042
SDSSJ0926+3624
SDSSJ092638+362402
SDSSJ0932+0109
SDSSJ0932+4725
SDSSJ0943+5201
SDSSJ0951+6029
SDSSJ1005+1911
SDSSJ1006+2337
SDSSJ1010+0249
SDSSJ1013+4558
SDSSJ1025+4302
SDSSJ1026+4754
SDSSJ1031+0852
SDSSJ1031+2028
SDSSJ1035+0551
SDSSJ1035+0551 SEX
SDSSJ1100+1315
SDSSJ1120+6636
SDSSJ1132+6249
SDSSJ1132+6249 UMA
SDSSJ1135+5322
SDSSJ1138+0619
SDSSJ1146+6759
SDSSJ1146+6759 DRA
SDSSJ1152+4049
SDSSJ1202+4503
SDSSJ120231+45
SDSSJ1208+3550
SDSSJ1216+0520
SDSSJ1216+0520 VIR
SDSSJ1219+4715
SDSSJ1224+1841
SDSSJ1227+5139
SDSSJ1227+5139 CVN
SDSSJ1232+2222
SDSSJ1238-0339
SDSSJ1244+6135
SDSSJ1248+0720
SDSSJ1249+0357
SDSSJ1256-0158 VIR
SDSSJ1258+6408
SDSSJ1258+6408 DRA
SDSSJ1258+6635
SDSSJ1258+6635 DRA
SDSSJ1300+1151
SDSSJ1305+5828
SDSSJ1327+6528
SDSSJ1339+4847
SDSSJ1404+1723
SDSSJ1429+4145
SDSSJ1429+4145 BOO
SDSSJ1433+1011
SDSSJ1435+2336
SDSSJ1440+4947
SDSSJ1450+5845
SDSSJ1450+5845 DRA
SDSSJ1457+5148
SDSSJ1457+5148 BOO
SDSSJ1501+5501
SDSSJ1501+5501 DRA
SDSSJ1502+3334
SDSSJ1514+4549
SDSSJ1524+2209
SDSSJ1524+2209 SER
SDSSJ1528+0349 SER
SDSSJ1536+3328
SDSSJ1538+5123
SDSSJ1538+5123 BOO
SDSSJ1555-0010
SDSSJ1556+3523
SDSSJ1556-0009
SDSSJ1604+1615
SDSSJ1605+2030
SDSSJ1607+3623
SDSSJ1610+0907
SDSSJ1610+0907 SER
SDSSJ1613-0003
SDSSJ1613-0003 SER
SDSSJ1619+1351
SDSSJ1619+1351 HER
SDSSJ1622+3411 CRB
SDSSJ1625+1203 HER
SDSSJ162718.39+120435.0
SDSSJ1628+2402
SDSSJ1631+1031
SDSSJ1637-0019 OPH
SDSSJ1642+1347
SDSSJ1653+2010
SDSSJ1658+1847
SDSSJ1702+2235 HER
SDSSJ1702+3229
SDSSJ1702+3229 HER
SDSSJ1703+3209 HER
SDSSJ1711+3013 HER
SDSSJ1712+6046 DRA
SDSSJ1726+5432 DRA
SDSSJ1730+6247
SDSSJ2044-0459
SDSSJ2047+0000
SDSSJ2047+0000 AQR
SDSSJ2047+0008 AQR
SDSSJ2048-0610
SDSSJ2048-0610 AQR
SDSSJ2059-0612
SDSSJ2059-0612 AQR
SDSSJ2101+1052
SDSSJ2104+0105
SDSSJ2148-0007
SDSSJ2205+1155
SDSSJ2232+1403
SDSSJ2234+0041
SDSSJ2303+0106
SDSSJ2303+0106 PSC
SDSSP 1730
SDSSp J015543.40+002
SDSSp J072910.68+365
SDSSp J072910.68+365838.3
SDSSp J074716.81+424
SDSSp J081321.91+452
SDSSp J081610.4+4530
SDSSp J082409
SDSSp J082409.73+493
SDSSp J083845.23+491
SDSSp J171247.7+6046
SDSSp J172601.96+543
SDSSp J173008.38+624
SDSSp J230351.64+010
SDSSpJ015151.87+140047.2
SDSSPJ0155+0028
SDSSpJ0155+0028 CET
SDSSpJ0233+0050
SDSSPJ0729+3658
SDSSpJ0729+3658 AUR
SDSSpJ072910.68+3658
SDSSpJ0747
SDSSPJ0747+4248
SDSSpJ0747+4248 LYN
SDSSpJ074716.81+4248
SDSSpJ074716.81+424849.0
SDSSpJ080434.20+510349.2
SDSSPJ0813+4528
SDSSpJ081321.91+452809.4
SDSSPJ0816+4530
SDSSpJ081610.84+453010.2
SDSSPJ082409.73+493
SDSSPJ083845.23+491
SDSSpJ155644.24-000950.2
SDSSpJ1613-0003
SDSSpJ1637-0019
SDSSpJ1712+6046
SDSSPJ1726+5432
SDSSPJ1730+6247
SDSSpJ173008.38+624754.7
SDSSPJ2303+0106
SDSSpJ2303+0106 PSC
SDSSPJ230351.64+010
SDSSpJ230351.64+010651.0
SGE AW
SM 2012P
SN 1980K
SN 1989B
SN 1991BG
SN 1991T
SN 1992G
SN 1993J
SN 1994AE
SN 1994D
SN 1994I
SN 1994W
SN 1995AL
SN 1995D
SN 1996BK
SN 1997BP
SN 1997BQ
SN 1997DO
SN 1997X
SN 1998AN
SN 1998AQ
SN 1998BP
SN 1998BU
SN 1998S
SN 1998V
SN 1999AA
SN 1999BY
SN 1999CL
SN 1999EM
SN 2001DN
SN 2002AP
SN 2002ap Psc
SN 2002BO
SN 2004BD
SN 2004DJ
SN 2004ET
SN 2006X
SN 2007AA
SN 2007AF
SN 2007AV
SN 2007AX
SN 2007BC
SN 2007BM
SN 2007BT
SN 2007CD
SN 2007CI
SN 2007CK
SN 2007CM
SN 2007CO
SN 2007CU
SN 2007FZ
SN 2007GE
SN 2007GI
SN 2007GK
SN 2007HJ
SN 2007KJ
SN 2007LE
SN 2008db
SN 2008dc
SN 2008dr
SN 2008ds
SN 2008eb
SN 2008ec
SN 2008ee
SN 2008en
SN 2008eo
SN 2008ep
SN 2008ex
SN 2008fc
SN 2008fg
SN 2008fj
SN 2008fm
SN 2008gb
SN 2008gg
SN 2008gl
SN 2008hh
SN 2008hs
SN 2008hv
SN 2008hy
SN 2008if
SN 2008in
SN 2009ab
SN 2009ad
SN 2009an
SN 2009ao
SN 2009at
SN 2009B
SN 2009be
SN 2009bs
SN 2009bz
SN 2009dc
SN 2009E
SN 2009ee
SN 2009en
SN 2009ex
SN 2009fi
SN 2009fl
SN 2009fs
SN 2009fv
SN 2009gl
SN 2009hi
SN 2009hr
SN 2009hz
SN 2009ic
SN 2009if
SN 2009ig
SN 2009ih
SN 2009io
SN 2009iz
SN 2009jf
SN 2009jq
SN 2009jr
SN 2009js
SN 2009ju
SN 2009K
SN 2009ka
SN 2009KQ
SN 2009M
SN 2009md
SN 2009mf
SN 2009MI
SN 2009NA
SN 2009NQ
SN 2010af
SN 2010AI
SN 2010AU
SN 2010D
SN 2010DO
SN 2010GL
SN 2010HQ
SN 2010IK
SN 2010JE
SN 2010JJ
SN 2010JL
SN 2010KI
SN 2010KO
SN 2010ln
SN 2010lp
SN 2011ao
SN 2011at
SN 2011az
SN 2011B
SN 2011by
SN 2011dh
SN 2011dm
SN 2011dn
SN 2011ek
SN 2011fe
SN 2011ht
SN 2011iy
SN 2012A
SN 2012au
SN 2012aw
SN 2012bv
SN 2012cd
SN 2012cg
SN 2012cs
SN 2012cu
SN 2012cx
SN 2012da
SN 2012dn
SN 2012dz
SN 2012ec
SN 2012eg
SN 2012ej
SN 2012fg
SN 2012fh
SN 2012gd
SN 2012gm
SN 2012ho
SN 2012P
SN 2012V
SN 2013dy
SN 2014J
SN2001BG
SN2001IB
SN2002ap Psc
SN2004BD
SN2004DJ
SN2004ET
SN2005CS
SN2006X
SN2007aa
SN2007af
SN2007av
SN2007ax
SN2007bc
SN2007bm
SN2007bt
SN2007cd
SN2007ci
SN2007ck
SN2007cm
SN2007co
SN2007cu
SN2007fz
SN2007ge
SN2007gi
SN2007gk
SN2007hj
SN2007kj
SN2007le
SN2007rz
SN2007sa
SN2008ax
SN2008bn
SN2008bo
SN2008dr
SN2008fv
SN2008S
SN2009E
SN2010FX
SN2010GL
SN2011DH
SN2012ip
SN2014J
SPer
SPOG EMCYG
SpogEMCyg
SS  Cep    0333+80
SS  Cep  0333+80
SS  Lep
SS  Lep    0600-16
SS  Lep   0600-16
SS ARI
SS AUR
SS BOO
SS CAS
SS CEP
SS CET
SS COM
SS CYG
SS DEL
SS GEM
SS HER
SS LEP
SS LMI
SS PEG
SS UMI
SS VIR
SSAur
SSCep
SSct
SSCyg
SSLep
SSVir
ST   Her
ST   UMa
ST  UMa
ST  UMa   1122+45
ST  UMa  112245
ST AND
ST AQR
ST AUR
ST CAM
ST CEP
ST Cyg
ST GEM
ST HER
ST LMI
ST Lyr
ST MON
ST PER
ST SGE
ST UMA
ST URS MAJ
STCam
STHer
STUMa
SU AND
SU AQR
SU AUR
SU CAM
SU CNC
SU GEM
SU LAC
SU LYR
SU PER
SU TAU
SU U Ma
SU UMA
SU VIR
SUAnd
SULac
SUPer
SUSPECT VARIABLE RA2
SUTau
SUUMa
SV  Cyg
SV 085220 CNC
SV Aql
SV ARI
SV CAM
SV CEP
SV CMI
SV CNC
SV CRV
SV CYG
SV Her
SV LYN
SV SGE
SV0219+43 AND
SV1204+26 COM
SV1234+27 COM
SVLyn
SVSge
SW  CrB
SW CRB
SW CYG
SW GEM
SW LAC
SW PEG
SW PER
SW Sex
SW UMA
SW VIR
SW VUL
SWCrB
SWIFT J1910.2-0546
SwiftJ1910-0546
SWUMa
SWVir
SX AUR
SX CAM
SX Cas
SX Cyg
SX HER
SX LAC
SX LMI
SX MON
SX VIR
SXHer
SXLac
SXMon
SY  Per
SY Aql
SY CAP
SY CNC
SY GEM
SY HER
SY HYI
SY MON
SY PER
SZ And
SZ CEP
SZ Lep
SZ Lyn
SZ PSC
SZ Ser
SZ TAU
T   CrB
T   CrB   1555+26
T   Cyg
T   Her
T  Cas
T  Cas    0017+55
T  Cen  1336-33
T  Cep
T  Cep   2108+68
T  Cephei  2108+68
T  Col
T  Col    0515-33
T  CrB   1555+26
T  Cyg
T  Her
T  Her  1805+31
T  Hor   0257-51
T  Ind      2113-45
T  Per
T AQR
T ARI
T Aur
T CAM
T CAP
T CAS
T CEN
T CEP
T Cep  210868
T CEP 210868
T Cephei
T CET
T CMI
T CNC
T COL
T COR
T Corona Borealis
T CRB
T CrB   155526
T CRB 155526
T CVN
T CYG
T Del
T DRA
T GEM
T HER
T HOR
T IND
T INDII
T LEO
T LYR
T MIC
T MON
T Ori
T PEG
T PER
T PYX
T SER
T SGR
T TAU
T TAURI
T UMA
T UMI
ta Cep DEL
ta Sco DEL
ta Uma DEL
ta2 Lyr DEL
TAGO CAS
TASV 0220+48
TASV 0234+38 AND
TASV 0358 +57
TASV 0524 +15
TASV 0534 +10
TASV 0534+10
TASV 0626+34
TASV 0626+34 AUR
TASV 0722 +37
TASV 1835
TASV 1946+00 Aql
TASV 2204 +59
TASV J0534+436
TASV J1803+441 HER
TASV J1835 +383
TASV J1835 LYR
TASV J1835+383
TASV0008+47
TASV0220+48
TASV0234+38
TASV0327+44
TASV0358+57
TASV0524+15
TASV0534+10
TASV0534+10 Ori
TASV0626+34
TASV0654+45
TASV0722+37
TASV1108+55
TASV164125A
TASV1812+40
TASV1835
TASV1946+00
TASV2204+59
TASV2204+59 Cep
TASV2321+46
TASVJ0514+53
TASVJ0534+436
TASVJ0550+543
TASVJ0550+543 AUR
TASVJ1803+441
TASVJ1835
TASVJ1835+383
TAU 4 SER
TAU2
TAU4 SER
tau4Ser
TAV 0033+59
TAV 0033+59 CAS
TAV 0039+59
TAV 0042+53 CAS
TAV 0216+48 AND
TAV 0346 +38
TAV 0346+38 PER
TAV 0514 +53
TAV 0514+53 Aur
TAV 0559+06
TAV 0714 +17
TAV 0714+17
TAV 1933 +53
TAV 1933+53
TAV 1946 +00
TAV 2034 +61
TAV 2034+61
TAV 2034+61 CEP
TAV J0218 +507
TAV J0218+507
TAV J0269 +295 Gem
TAV J0514+53 Aur
TAV J0550+543 AUR
TAV J0629 +205
TAV J0629+205
TAV J1747
TAV J1907+117
TAV0033+59
TAV0033+59 CAS
TAV0039+59
TAV0042+53
TAV0136+60
TAV0216+48
TAV0346+38
TAV0346+38 Per
TAV0451+69
TAV0514+53
TAV0559+06
TAV0559+06 Ori
TAV0626+34
TAV0714+17
TAV0714+17 Gem
TAV1747-1
TAV1831+19
TAV1831+19 SOUTH
TAV1836+11
TAV1933 +53
TAV1933 +53 Cyg 
TAV1933+53
TAV1933+53 Cyg
TAV1941+34
TAV1946+00
TAV2034+61
TAV2034+61 CEP
TAV2230+58
TAVJ0218+507
TAVJ0218+507 And
TAVJ0269+295
TAVJ0514+53
TAVJ0550+543
TAVJ0629+205
TAVJ0629+205 Gem
TAVJ1747
TAVJ1907+117
TAVJ2059+264
TCPJ0611+4041 AUR
TCrB
TCyg
THE BOO
THETA BOO
TK4
TK4 LYR
TK5
TK5 LYR
TMZ V131 DRA
tor4 Ser
tor4Ser
TSS 022216.4+412260
TT  Cyg
TT ARI
TT AUR
TT BOO
TT CRB
TT CRT
TT CYG
TT DRA
TT Dra  171157
TT HYA
TT LYR
TT OPH
TT TAU
TT TRI
TT UMI
TTau
TTCyg
TTTau
TU  Lyr
TU AND
TU AQL
TU CAS
TU CVN
TU CYG
TU GEM
TU LMI
TU Peg
TU TRI
TUCVn
TUGem
TV  Gem
TV  Gem    0605+21
TV  Gem  0605+21
TV  Gem  060521
TV  Her
TV  UMa  114036
TV AND
TV CAS
TV CRV
TV GEM
TV GEN
TV HER
TV PSC
TV UMA
TVCVn
TVGem
TVPsc
TVUMa
TW  Cam
TW AND
TW AUR
TW CAM
TW CAS
TW CNC
TW DRA
TW GEM
TW Peg
TW PER
TW TRI
TW UMI
TW VIR
TW VUL
TX  Dra
TX  Per
TX  Per   0241+36
TX  Psc  2341+02
TX CAM
TX CAS
TX CNC
TX CVN
TX DRA
TX HER
TX PER
TX PSC
TX TRI
TX UMA
TXDra
TXPsc
TY Cyg
TY MEN
TY PSC
TY SGE
TY VUL
Tyc 2642-127
Tyc 2642-127 RG
Tyc 3755 845 Aur HADS
TYC 4031-791-1
TYC 848 966
TZ  Per
TZ AND
TZ Boo
TZ LYR
TZ MEN
TZ PER
TZ TAU
TZ UMA
TZAnd
TZPer
U   Cyg      2016+47
U   Mon      0726-09
U  Cam
U  Cam   0333+62a
U  Cam  0333+62a
U  Cam  033362a
U  Cyg
U  Del
U  Lyr
U  Mon
U  Mon   0726-09
U  Ori 054920a
U AQR
U Ari
U Aur
U BOO
U CAM
U CAM 033362A
U CAS
U CEP
U CET
U CMI
U CNC
U CRB
U CVN
U CYG
U CYG 201647
U DEL
U DRA
U GEM
U HER
U HYA
U Hyd
U LEO
U LMI
U LYN
U LYR
U MON
U MON 072609
U OPH
U ORI
U Orionis
U PER
U PSC
U SCO
U SGE
U UMI
U VIR
UCam
UCVn
UDel
UGem
UHya
UHyd
ULMi
UMa6
UMon
UNKNOWN
UOri
UU  Aur
UU  Aur       0629+3
UU  Aur   0629+38
UU  Aur  062938
UU AQL
UU AQR
UU AUR
UU AUR 062938
UU CNC
UU LYR
UUAql
UUAur
UV  Aur
UV AUR
UV BOO
UV CAM
UV CAS
UV CVN
UV GEM
UV LEO
UV Lyr
UV PER
UV Psc
UV SEX
UVAur
UVCam
UVCas
UVPer
UW AND
UW AQL
UW CEN
UW CMA
UW DRA
UW HER
UW ORI
UW PER
UW TRI
UWAql
UWDra
UWHer
UX  Dra
UX AND
UX ANT
UX CAM
UX Cyg
UX DRA
UX Lac
UX UMA
UXDra
UY  And
UY AND
UY CEN
UY CNC
UY Dra
UY GEM
UY VUL
UZ AND
UZ BOO
UZ GEM
UZ LEO
UZ LYR
UZ SER
UZ VUL
V  393  Cas   015470
V  Aql
V  Aql  1859-05
V  Cep
V  Cep  2351+82
V  CVn
V  CVn    1315+46
V  CVn   131546
V  Umi
V 1294 Aql
V 391  Cas
V 391 Cas  0148+69
V 393  Cas  0154+70
V 460 CYG
V 465  Cas
V 465 Cas
V 493 Lyr
V 509 Cas  2255+56
V 566 HER
V 592 HER
V 630 Cyg
V 973 CYG
V AND
V AQL
V Aqu
V ARI
V Aur
V BOO
V CAM
V CAS
V CEP
V CNC
V CRA
V CRB
V CVN
V CYG
V Del
V DRA
V HYA
V LYR
V MON
V PEG
V Per
V SAG
V Sagittae
V SGE
V TAU
V UMA
V UMI
V VIR
V VUL
V0368 Per
V0426 Oph
V0439 Sct
V0547 And
V1006 CYG
V1008 HER
V1008 Her = VAR61 He
V1008 Her =3D VAR61
V1011 HER
V1016 CYG
V1017 SGR
V1026 SCO
V1028 CYG
V1033 Cas
V1037 SCO
V1046 ORI
V1057 CYG
V1060 CYG
V1060 Vyg
V1062 CYG
V1062 TAU
V1070 CYG
V1073 Cyg
V1077 HER
V1081 CYG
V1081 TAU
V1084 Her
V1089 CYG
V1107 Her
V1108 HER
V1113 CYG
V1114 Cyg
V1115 Cyg
V1117 Her
V1141 AQL
V1143 CYG
V1147 CYG
V1159 ORI
V1193 Ori
V1208 TAU
V1212 Tau
V1227 Her
V1233 Aql
V1239 Her
V1251 CYG
V1258 TAU
V1264 Tau
V1265 TAU
V1276 CYG
V1289 AQL
V1293 AQL
V1293Aql
V1294 AQL
V1294Aql
V1295 AQL
V1296 TAU
V1309 ORI
V1315 Aql
V1316 COMP P2
V1316 CYG
